basin,name,calwater22,minstor
2205300602,Fowler Creek,-9999,-9999
2205300701,Little Uvas Creek,-9999,-9999
2205300702,Babb Creek,-9999,-9999
2205300703,Penitencia Creek,-9999,-9999
2205300704,Berryessa Creek,-9999,-9999
2205300705,Arroyo Aguague,-9999,-9999
2205300800,undefined basin within San Jose,-9999,-9999
2205400101,Hooker Gulch,-9999,-9999
2205400102,Lake Eisman,-9999,-9999
2205400201,Outlet Lexington Reservoir,-9999,-9999
2205400202,Lyndon Canyon,-9999,-9999
2205400301,Calero Reservoir,-9999,-9999
2205400302,Almden Reservoir,-9999,-9999
2205400401,Alamitos Creek,-9999,-9999
2205400402,Rincon Creek,-9999,-9999
2205400500,undefined basin within San Jose West,-9999,-9999
2205500101,Corte Madera Creek,-9999,-9999
2205500102,West Union Creek,-9999,-9999
2205500201,Permanente Creek,-9999,-9999
2205500202,Deer Creek,-9999,-9999
2205500301,Stevens Creek Reservoir,-9999,-9999
2205500302,Upper Stevens Creek,-9999,-9999
2205500400,undefined basin within Sunnyvale,-9999,-9999
2205500500,undefined basin within Upper Saratoga Creek,-9999,-9999
2206100000,undefined basin within San Pablo Bay,-9999,-9999
2206200001,Arroyo Avichi,-9999,-9999
2206200002,Miller Creek,-9999,-9999
2206200003,Gallinas Creek,-9999,-9999
2206200004,Stafford Lake,-9999,-9999
2206300101,Adobe Creek,-9999,-9999
2206300102,Stage Gulch,-9999,-9999
2206300103,Lynch Creek,-9999,-9999
2206300200,undefined basin within Petaluma,-9999,-9999
2206300301,Lower San Antonio Creek,-9999,-9999
2206300302,Upper San Antonio Creek,-9999,-9999
2206300400,undefined basin within Lower Petaluma River,-9999,-9999
2206300500,undefined basin within Basalt Creek,-9999,-9999
2206400101,Upper Sonoma Creek,-9999,-9999
2206400102,Upper Calabazas,-9999,-9999
2206400103,Bear Creek,-9999,-9999
2206400104,Lower Calabazas,-9999,-9999
2206400201,Mouth of Sonoma Creek,-9999,-9999
2206400202,Nathanson Creek,-9999,-9999
2206400203,Haraszthy Creek,-9999,-9999
2206400204,Champlin Creek,-9999,-9999
2206400300,undefined basin within Tolay Creek,-9999,-9999
2206500101,Garnett Creek,-9999,-9999
2206500102,Simmons Canyon,-9999,-9999
2206500103,Upper Napa River,-9999,-9999
2206500201,York Creek,-9999,-9999
2206500202,Bell Canyon Reservoir,-9999,-9999
2206500203,Ritchie Creek,-9999,-9999
2206500204,Heath Canyon,-9999,-9999
2206500301,Moore Creek,-9999,-9999
2206500302,Chiles Creek,-9999,-9999
2206500303,Fir Canyon,-9999,-9999
2206500304,Lake Hennessey,-9999,-9999
2206500305,Conn Creek,-9999,-9999
2206500401,Bear Canyon,-9999,-9999
2206500402,Milliken Reservoir,-9999,-9999
2206500403,Soda Creek,-9999,-9999
2206500404,Spencer Creek,-9999,-9999
2206500405,Mouth of Napa River,-9999,-9999
2206500406,Rector Reservation,-9999,-9999
2206500407,Fagan Creek,-9999,-9999
2206500501,Lower Dry Creek,-9999,-9999
2206500502,Upper Dry Creek,-9999,-9999
2206500601,Redwood Creek,-9999,-9999
2206500602,Browns Valley Creek,-9999,-9999
2206500700,undefined basin within Carneros Creek,-9999,-9999
2206600101,Briones Reservoir,-9999,-9999
2206600102,San Pablo Reservoir,-9999,-9999
2206600103,Wildcat Creek,-9999,-9999
2206600104,San Pablo Creek,-9999,-9999
2206600105,Claremont Creek,-9999,-9999
2206600201,Refugio Creek,-9999,-9999
2206600202,Rodeo Creek,-9999,-9999
2206600203,Pinole Creek,-9999,-9999
2207100000,undefined basin within Suisun Bay,-9999,-9999
2207210100,undefined basin within Green Valley Creek,-9999,-9999
2207210200,undefined basin within Jameson Canyon,-9999,-9999
2207210301,Pine Lake,-9999,-9999
2207210302,Sky Valley,-9999,-9999
2207210400,undefined basin within Goodyear Slough,-9999,-9999
2207220001,Wooden Valley Creek,-9999,-9999
2207220002,Suisun Reservoir,-9999,-9999
2207220003,Lake Curry,-9999,-9999
2207230101,Upper Laurel Creek,-9999,-9999
2207230102,Ledgewood Creek,-9999,-9999
2207230200,undefined basin within Suisun Slough,-9999,-9999
2207240000,undefined basin within Fairfield,-9999,-9999
2207250000,undefined basin within Fairfield,-9999,-9999
2207260000,undefined basin within Fairfield,-9999,-9999
2207310101,Little Pine Creek,-9999,-9999
2207310102,Donner Creek,-9999,-9999
2207310103,Kirker Pass,-9999,-9999
2207310104,Walnut Creek,-9999,-9999
2207310200,undefined basin within Lawlor Ravine,-9999,-9999
2207310300,undefined basin within Kirker Creek,-9999,-9999
2207310400,undefined basin within Oil Tanks,-9999,-9999
2207320101,Grizzly Creek,-9999,-9999
2207320102,Lafayette Creek,-9999,-9999
2207320201,Sycamore Creek,-9999,-9999
2207320202,Tree Creek,-9999,-9999
2207320203,N. Side Las Trampas Ridge,-9999,-9999
2207320204,San Catanio Creek,-9999,-9999
2207320205,Bolinger Creek,-9999,-9999
2207320206,San Ramon Valley,-9999,-9999
2207330001,Rodeo Creek,-9999,-9999
2207330002,Martinez Creek,-9999,-9999
